tank_id,ENGINE_HOURS,FAULT_CODES,COMBAT_STRESS_EVENTS,IDLE_HOURS,TRACK_MILES,TURRET_ROTATIONS,MAIN_GUN_ROUNDS,TRANSMISSION_SHIFTS,TEMP_EXTREME_COLD_MI,TEMP_COLD_MI,TEMP_MODERATE_MI,TEMP_HOT_MI,LOAD_MINIMAL_MI,LOAD_STANDARD_MI,LOAD_HEAVY_MI,LOAD_MAXIMUM_MI,TERRAIN_PAVED_MI,TERRAIN_DIRT_MI,TERRAIN_ROUGH_MI,TERRAIN_EXTREME_MI
TANK001,2450,3,45,120,1850,8900,245,12500,50,200,800,600,300,900,450,100,400,800,500,150
TANK002,3100,7,78,200,2400,12000,410,18000,30,180,950,840,250,1100,600,150,350,950,700,400
TANK003,1200,1,12,80,950,4200,95,6800,80,350,450,70,500,300,100,50,600,250,80,20
TANK004,4500,15,120,350,3200,18500,680,24000,20,120,1200,1860,200,1400,950,650,300,1200,1100,600
TANK005,1800,2,28,95,1350,6500,180,9200,100,280,650,320,400,550,250,150,500,450,300,100
TANK006,5200,22,156,420,4100,22000,890,28500,10,80,1500,2510,150,1600,1200,1150,250,1400,1500,950
TANK007,900,0,8,45,620,2800,48,4500,120,420,180,20,600,150,50,20,700,100,20,0
TANK008,3800,12,95,280,2900,15500,520,21000,25,150,1100,1525,220,1300,750,630,320,1050,900,630
TANK009,2100,4,38,140,1600,7800,285,10800,70,240,720,570,350,750,400,100,450,650,400,100
TANK010,6100,28,185,510,4850,26500,1050,32000,5,50,1800,2995,100,1850,1500,1400,200,1650,1800,1200
